getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
19028, 1264542522.404354, 0, 0.001333, 0.004970, 360448, 0, 200, 188, 11
19030, 1264542522.410678, 10419001, 0.576352, 0.003079, 192512, 69, 0, 1, 319
19033, 1264542522.424009, 40221001, 0.541777, 0.001756, 192512, 33, 0, 1, 209
19031, 1264542522.425807, 20298001, 0.546150, 0.002257, 192512, 35, 0, 1, 254
19030, 1264542522.429678, 10420001, 0.577727, 0.003099, 192512, 70, 0, 1, 321
19032, 1264542522.451208, 30250001, 0.544461, 0.001684, 192512, 36, 0, 1, 196
19028, 1264542522.451238, 0, 0.001355, 0.005026, 360448, 0, 205, 193, 11
19030, 1264542522.462311, 10428001, 0.588794, 0.003124, 192512, 71, 0, 1, 323
19030, 1264542522.468097, 10432001, 0.594542, 0.003144, 192512, 72, 0, 1, 324
19034, 1264542522.477292, 50217001, 0.584309, 0.002334, 192512, 27, 0, 1, 298
19034, 1264542522.480185, 50218001, 0.587086, 0.002371, 192512, 28, 0, 1, 302
19033, 1264542522.484742, 40231001, 0.565860, 0.001843, 192512, 34, 0, 1, 221
19028, 1264542522.484773, 0, 0.001379, 0.005082, 360448, 0, 210, 198, 11
19031, 1264542522.489933, 20310001, 0.568393, 0.002372, 192512, 36, 0, 1, 265
19034, 1264542522.508685, 50221001, 0.595452, 0.002398, 192512, 29, 0, 1, 304
19031, 1264542522.515520, 20313001, 0.573925, 0.002394, 192512, 37, 0, 1, 267
19030, 1264542522.524220, 10446001, 0.614038, 0.003207, 192512, 73, 0, 1, 329
19031, 1264542522.540988, 20326001, 0.597818, 0.002440, 192512, 38, 0, 1, 275
19028, 1264542522.541017, 0, 0.001401, 0.005136, 360448, 0, 215, 203, 11
19030, 1264542522.546828, 10455001, 0.626583, 0.003232, 192512, 74, 0, 1, 332
19033, 1264542522.554665, 40243001, 0.595751, 0.001926, 192512, 35, 0, 1, 234
19033, 1264542522.572185, 40246001, 0.603227, 0.001951, 192512, 36, 0, 1, 237
