Overall totals by port
TOTAL        bytes:    376734980  pkts:    1829725  conns:    98686  tput:      102 B/s
Port  1271   bytes:        43735  pkts:        126  conns:       11  tput:        0 B/s
Port  1272   bytes:        45401  pkts:        120  conns:       10  tput:        0 B/s
Port  1273   bytes:        18943  pkts:        136  conns:       13  tput:        0 B/s
Port  1274   bytes:        13982  pkts:        121  conns:       13  tput:        0 B/s
Port  1275   bytes:        16552  pkts:        130  conns:       13  tput:        0 B/s
Port  1276   bytes:        16124  pkts:         98  conns:        8  tput:        0 B/s
Port  1277   bytes:        22161  pkts:        154  conns:       14  tput:        0 B/s
Port  1278   bytes:        59327  pkts:        167  conns:        9  tput:        0 B/s
Port  1279   bytes:        35542  pkts:        263  conns:       23  tput:        0 B/s
Port  1280   bytes:        43821  pkts:        215  conns:       17  tput:        0 B/s
Port  1281   bytes:        30510  pkts:         84  conns:        4  tput:        0 B/s
Port  1282   bytes:        22976  pkts:        162  conns:       14  tput:        0 B/s
Port  1283   bytes:        13414  pkts:        104  conns:       10  tput:        0 B/s
Port  1284   bytes:        28984  pkts:        199  conns:       19  tput:        0 B/s
Port  1285   bytes:        24176  pkts:        147  conns:       17  tput:        0 B/s
Port  1286   bytes:        45442  pkts:        211  conns:       19  tput:        0 B/s
Port  1287   bytes:        98882  pkts:        233  conns:       14  tput:        0 B/s
Port  1288   bytes:        61904  pkts:        130  conns:       11  tput:        0 B/s
Port  1289   bytes:        40055  pkts:        310  conns:       14  tput:        0 B/s
Port  1290   bytes:        39596  pkts:        125  conns:       11  tput:        0 B/s
Port  1291   bytes:        19708  pkts:        110  conns:       11  tput:        0 B/s
Port  1292   bytes:        33453  pkts:        129  conns:       13  tput:        0 B/s
Port  1293   bytes:        69420  pkts:        227  conns:       11  tput:        0 B/s
Port  1294   bytes:        33767  pkts:        149  conns:       14  tput:        0 B/s
Port  1295   bytes:       272494  pkts:        387  conns:       16  tput:        0 B/s
Port  1296   bytes:        89085  pkts:        213  conns:       14  tput:        0 B/s
Port  1297   bytes:        73956  pkts:        855  conns:       13  tput:        0 B/s
Port  1298   bytes:        16527  pkts:         72  conns:        8  tput:        0 B/s
Port  1299   bytes:        73597  pkts:        153  conns:       13  tput:        0 B/s
Port  1300   bytes:        25841  pkts:        180  conns:       18  tput:        0 B/s
Port  1301   bytes:        15597  pkts:        132  conns:       14  tput:        0 B/s
Port  1302   bytes:        22171  pkts:        172  conns:       15  tput:        0 B/s
Port  1303   bytes:        14965  pkts:        110  conns:       15  tput:        0 B/s
Port  1304   bytes:        34982  pkts:        221  conns:       18  tput:        0 B/s
Port  1305   bytes:        41670  pkts:        429  conns:       14  tput:        0 B/s
Port  1306   bytes:        23920  pkts:        126  conns:       13  tput:        0 B/s
Port  1307   bytes:       102910  pkts:        270  conns:       14  tput:        0 B/s
Port  1308   bytes:        49758  pkts:        173  conns:       14  tput:        0 B/s
Port  1309   bytes:        34707  pkts:         92  conns:       10  tput:        0 B/s
Port  1310   bytes:        58349  pkts:        163  conns:        9  tput:        0 B/s
Port  1311   bytes:        88490  pkts:        271  conns:       18  tput:        0 B/s
Port  1312   bytes:        86638  pkts:        271  conns:       18  tput:        0 B/s
Port  1313   bytes:        23278  pkts:        178  conns:       17  tput:        0 B/s
Port  1314   bytes:        41574  pkts:        217  conns:       13  tput:        0 B/s
Port  1315   bytes:        16438  pkts:        124  conns:       15  tput:        0 B/s
Port  1316   bytes:        22967  pkts:        165  conns:       17  tput:        0 B/s
Port  1317   bytes:         6196  pkts:         63  conns:        8  tput:        0 B/s
Port  1318   bytes:         5516  pkts:         58  conns:        8  tput:        0 B/s
Port  1319   bytes:         6076  pkts:         73  conns:       11  tput:        0 B/s
Port  1320   bytes:        14273  pkts:        132  conns:       15  tput:        0 B/s
Port  1321   bytes:         9459  pkts:         69  conns:        9  tput:        0 B/s
